tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz
1,0,1,0,1,0,-1.04,0.13,0.38,-101.67,600.77,-283.55,0
1,1,1,0,1,1,-0.90,-0.05,0.07,-270.52,317.82,-1087.44,4
1,1,1,0,1,1,-0.81,-0.30,0.04,-52.86,-230.15,-768.27,4
1,1,1,0,1,1,-0.63,-0.35,0.03,201.72,-436.19,53.62,4
1,1,0,0,1,1,-0.76,-0.30,0.30,350.19,-615.26,593.26,4
1,1,1,0,1,0,-0.87,-0.15,0.51,238.20,-286.20,694.33,4
1,1,1,0,1,0,-0.89,0.01,0.50,8.65,570.50,593.26,0
1,1,1,0,1,0,-0.91,0.15,0.28,-20.59,939.51,356.19,0
1,0,1,0,1,1,-0.93,0.18,0.04,-82.32,596.77,-535.97,0
1,1,1,0,1,1,-0.87,-0.07,-0.09,-73.83,-171.72,-941.45,4
1,1,1,0,1,1,-0.80,-0.26,-0.01,11.19,-475.32,-462.02,4
1,1,1,0,1,1,-0.75,-0.28,0.17,137.13,-540.88,-28.11,4
1,1,1,0,1,1,-0.85,-0.29,0.34,199.34,-435.11,293.33,4
1,1,1,0,1,0,-1.05,-0.19,0.43,-5.68,395.92,364.25,4
1,1,1,0,1,1,-0.68,-0.11,0.10,-160.37,519.16,-31.30,4
1,1,1,0,1,1,-0.80,-0.13,0.22,172.91,-846.38,263.39,4
1,1,1,0,1,0,-0.84,0.02,0.50,65.51,-541.53,509.91,0
1,1,1,0,1,0,-0.78,0.15,0.51,-44.48,318.41,566.50,0
1,0,1,0,1,1,-0.88,0.19,0.35,111.67,884.27,75.08,0
1,0,1,0,1,1,-0.95,0.19,0.19,-105.94,489.48,-811.73,0
1,1,1,0,1,1,-0.90,-0.09,0.12,-73.89,-151.88,-1022.53,4
1,1,1,0,1,1,-0.71,-0.23,0.12,135.40,-546.34,-355.44,4
1,1,1,0,1,0,-0.67,-0.15,0.31,116.80,-373.44,454.94,4
